"Title","Address","Longitude","Latitude","Contact Link"
"Bamberg (branch office in AnkER facility)","Bau C Buchenstraße 4 96050 Bamberg Bayern","10.932515","49.904533","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/bamberg-anker-einheit.html"
"Deggendorf (branch office in AnkER facility)","Stadtfeldstr. 11 94469 Deggendorf Bayern","12.950911","48.840227","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/deggendorf-anker-einheit.html"
"Dresden (branch office in AnkER facility)","Nossener Brücke 12 01187 Dresden Sachsen","13.714480","51.037203","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/dresden-anker-einheit.html"
"Lebach (branch office in AnkER facility)","Schlesierallee 17 66822 Lebach Saarland","6.898439","49.402857","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/lebach-anker-einheit.html"
"Manching (branch office in AnkER facility)","Immelmannstr. 7 85077 Manching Bayern","11.436053","48.703904","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/manching-anker-einheit.html"
"Regensburg (branch office in AnkER facility)","Bajuwarenstr. 4 93053 Regensburg Bayern","12.121359","48.998490","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/regensburg-anker-einheit.html"
"Schweinfurt (branch office in AnkER facility)","Kasernenweg 1 97424 Schweinfurt Bayern","10.204299","50.051092","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/schweinfurt-anker-einheit.html"
"Zirndorf (branch office in AnkER facility)","Rothenburger Straße 29 90513 Zirndorf Bayern","10.953109","49.433370","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/zirndorf-anker-einheit.html"
"Bad Fallingbostel (branch office in arrival centre)","Anfahrt nur nach vorheriger Absprache: Hartemer Weg 2 29683 Osterheide Niedersachsen","9.703776","52.849585","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/bad-fallingbostel-az-einheit.html"
"Berlin (branch office in arrival centre)","Riedemannweg 59 13627 Berlin","13.3160722","52.5457094","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/berlin-az-einheit.html"
"Bielefeld (branch office in arrival centre)","Am Stadtholz 24 33609 Bielefeld Nordrhein-Westfalen","8.532705","52.027512","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/bielefeld-az-einheit.html"
"Bonn (branch office in arrival centre)","Reuterstraße 63a 53115 Bonn Nordrhein-Westfalen","7.100056","50.722173","https://www.bamf.de/SharedDocs/Struktur/Organisationseinheiten/EN/Standorte/bonn-az-einheit.html"
